symbol,fiscaldate_end,reported_currency,gross_profit,total_revenue,costof_revenue,costof_goodservices_sold,operating_income,selling_gen_admin,research_dev,operating_expenses,investment_income_net,netInterestIncome,interest_income,interest_expense,noninterest_income,othernon_operatingincome,depreciation,dpr_and_amort,income_beforetax,incometax_expense,interest_debt_expense,netincome_cont_operations,comprehensive_income_netoftax,ebit,ebitda,netincome
CARG,9/30/2017,USD,78269000,82989000,4720000,4720000,2863000,68897000,5796000,75406000,0,0,0,340000,0,-105000,0,713000,2969000,590000,0,2379000,2451000,2863000,3576000,2379000
CBLK,3/31/2018,USD,38219000,48434000,10215000,10215000,-13907000,37204000,14922000,62341000,0,0,0,-23000,0,0,0,0,-20523000,71000,0,-20594000,0,-13907000,0,-20594000
CBYL,3/31/2015,USD,0,7000,0,0,0,4877000,3902000,0,0,0,0,836000,0,0,0,0,0,0,0,0,0,0,0,0
CCG,9/30/2010,USD,0,16830000,16602000,16602000,228000,0,0,0,0,0,0,6709000,0,0,0,0,0,0,0,0,0,0,0,0
CCSC,9/30/2010,USD,0,31924000,23134000,23134000,3764000,4135000,0,0,0,0,0,0,0,0,0,0,4013000,819000,0,0,0,0,0,3194000
CDAY,3/31/2018,USD,89200000,208900000,119700000,119700000,26400000,65600000,6400000,65600000,0,-22200000,0,22200000,0,2800000,0,14900000,4700000,6800000,0,-2100000,-29300000,26400000,41300000,-2100000
CDLX,12/31/2017,USD,50106000,39266000,24278000,24278000,-2195000,16458000,2623000,147464000,0,-1812000,0,1812000,0,120000,0,725000,-25384000,0,0,-25384000,-4150000,-2195000,-1470000,-4056000
CERU,3/31/2014,USD,0,47000,2969000,2969000,0,0,1495000,0,0,0,0,461000,0,0,0,0,0,0,0,0,0,0,0,0
CGBD,6/30/2017,USD,22190000,38740000,16550000,16550000,28037000,740000,0,750000,0,0,0,6267000,0,0,0,0,15501000,0,0,-33018000,0,9550000,0,15501000
CGROU,3/31/2020,USD,0,0,0,0,-908,908,0,908,0,0,0,0,0,0,0,0,-908,0,0,-908,0,-908,0,-908
CHRA,6/30/2018,USD,30549000,195723000,165174000,165174000,11612000,18937000,0,18937000,0,0,0,5543000,0,699000,0,0,6768000,2906000,0,3862000,0,11612000,0,3220000
CHRM,3/31/2010,USD,0,41964000,29520000,29520000,7181000,5263000,0,0,0,0,0,178000,0,0,0,0,7194000,355000,0,0,0,0,0,6799000
CIS,6/30/2010,USD,0,44070000,28721000,28721000,5186000,8235000,529000,0,0,0,0,115000,0,0,0,0,4087000,703000,0,0,0,0,0,3372000
CLAY,3/31/2006,USD,0,53945000,37971000,37971000,2279000,9652000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLCD,3/31/2015,USD,0,0,0,0,-2811118,850491,1961000,2811118,0,0,0,0,0,11575,0,0,-2799543,0,0,-2799543,0,-2799543,0,-2799543
CLEU,3/31/2020,USD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24338,0,0,0,0,0,0
CLPS,6/30/2018,USD,12584500,34137190,21552690,21552690,466120,9429280,2023553,14368800,0,0,0,0.02,0,0,0,0,726600,-67708,0,794307,0,-1893430,0,728000
CLSD,6/30/2016,USD,5000,5000,5168000,5168000,-5178000,970000,4213000,5183000,0,0,0,180000,0,76000,0,0,-5102000,0,0,-5102000,0,-5102000,0,-5102000
CMBM,6/30/2019,USD,34312000,69151000,34839000,34839000,-9394000,27290000,15189000,78545000,0,-2301000,-2357000,2301000,0,0,0,0,-11751000,8623000,0,-20374000,0,-8057000,0,-20374000
